docdate,codigo_articulo,cantidad
2020-01-02,AUAC265,1
2020-01-02,AUACAL3900U,4
2020-01-02,AUACALM4,5
2020-01-02,AUACALR4,10
2020-01-02,AUACEG250,1
2020-01-02,AUACEL12,1
2020-01-02,AUACFL85265,1
2020-01-02,AUACPB400,1
2020-01-02,AUACRIM4F,4
2020-01-02,AUACRT2415U,1
2020-01-02,AUELCR433,1
2020-01-02,HEELAG114,3
2020-01-02,HEELAG1141,1
2020-01-02,HEELAG181,1
2020-01-02,HEELCA6256,2
2020-01-02,HEELCS1425,3
2020-01-02,HEELHG1600,1
2020-01-02,HEELID600,1
2020-01-02,HEELPS250,1
2020-01-02,HEELPS350,7
2020-01-02,HEELPW1565,1
2020-01-02,HEELPW2275,3
2020-01-02,HEELRM9026,1
2020-01-02,HEELTB500,2
2020-01-02,MAEL2G25,1
2020-01-02,MAEL2G65,2
2020-01-02,SOELAT2610254M,2
2020-01-02,SOELCSVM501,1
2020-01-02,SOELCSVM530,4
2020-01-02,SOELPES6300,1
2020-01-02,SOSWC1-611,2
2020-01-02,SOSWG2-210,2
2020-01-02,SOSWG2-213,2
2020-01-02,SOSWG2-214,4
2020-01-02,SOSWSWA3250,1
2020-01-02,SOSWT1-115,1
2020-01-03,AUAC265,1
2020-01-03,AUACAE20,11
2020-01-03,AUACAH45,1
2020-01-03,AUACAL3900U,1
2020-01-03,AUACALH2,5
2020-01-03,AUACALM4,6
2020-01-03,AUACALR4,2
2020-01-03,AUACBD1100,1
2020-01-03,AUACBD850,1
2020-01-03,AUACCH1,5
2020-01-03,AUACEG250,0
2020-01-03,AUACRIM4F,12
2020-01-03,AUACRP120,1
2020-01-03,AUACSH1000,1
2020-01-03,AUELCR433,3
2020-01-03,HEELAG114,1
2020-01-03,HEELAG1141,2
2020-01-03,HEELAG181,1
2020-01-03,HEELBV06,1
2020-01-03,HEELCS1425,3
2020-01-03,HEELDH164515,1
2020-01-03,HEELMS1018,1
2020-01-03,HEELPS250,2
2020-01-03,HEELPW1770,1
2020-01-03,HEELPW2275,1
2020-01-03,HEELTB500,1
2020-01-03,MAEL2G25,1
2020-01-03,MAEL2G950,1
2020-01-03,SOELAT2610254M,1
2020-01-03,SOELCSVM501,2
2020-01-03,SOELCSVM530,1
2020-01-03,SOELSI9220DV,2
2020-01-03,SOSWC1-611,2
2020-01-03,SOSWC1-651,1
2020-01-03,SOSWG1-110,1
2020-01-03,SOSWG2-210,2
2020-01-03,SOSWG2-213,10
2020-01-03,SOSWG2-214,10
2020-01-03,SOSWG2-217,1
2020-01-03,SOSWM1-111,1
2020-01-03,SOSWM2-210,2
2020-01-03,SOSWM2-245,1
2020-01-03,SOSWM2-251,2
2020-01-04,AUACAE20,1
2020-01-04,AUACALH2,1
2020-01-04,AUACPB400,1
2020-01-04,AUACRIM4F,4
2020-01-04,AUELCR433,1
2020-01-04,AUELMC3,1
2020-01-04,HEELAG114,1
2020-01-04,HEELCS1425,2
2020-01-04,HEELEB7056,1
2020-01-04,HEELPS250,1
2020-01-04,HEELVC0640P,1
2020-01-04,MAEL2G65,1
2020-01-04,SOELCSVM501,2
2020-01-04,SOELCSVM530,1
2020-01-04,SOELPES6300,1
2020-01-04,SOELPMS6505,1
2020-01-04,SOSWC1-611,1
2020-01-04,SOSWC1-651,1
2020-01-04,SOSWG2-213,2
2020-01-07,AUACAE20,4
2020-01-07,AUACAL3900U,1
2020-01-07,AUACALR4,8
2020-01-07,AUACBD1100,1
2020-01-07,AUACBD850,2
2020-01-07,AUACBL05,1
2020-01-07,AUACEG250,1
2020-01-07,AUACEL12,1
2020-01-07,AUACFC350,1
2020-01-07,AUACFC351,1
2020-01-07,AUACPB400,5
2020-01-07,AUACRIM4F,30
2020-01-07,AUACRIM4Z,2
2020-01-07,AUACRT2415U,1
2020-01-07,AUACSH1000,1
2020-01-07,AUELCR4301,6
2020-01-07,AUELCR433,10
2020-01-07,HEELAG114,9
2020-01-07,HEELAG1141,-1
2020-01-07,HEELAG181,1
2020-01-07,HEELBV04,1
2020-01-07,HEELBV06,1
2020-01-07,HEELCA1510,1
2020-01-07,HEELCA2542D,1
2020-01-07,HEELCA6205,1
2020-01-07,HEELCA6256,2
2020-01-07,HEELCS1425,2
2020-01-07,HEELEB7056,1
2020-01-07,HEELID600,1
2020-01-07,HEELMS1018,1
2020-01-07,HEELPS250,1
2020-01-07,HEELPS350,4
2020-01-07,HEELPW1770,1
2020-01-07,HEELPW2275,2
2020-01-07,HEELPW2482,1
2020-01-07,HEELRM9026,1
2020-01-07,HEELTB500,31
2020-01-07,HEELTS255,1
2020-01-07,HEELVC0640P,1
2020-01-07,MAEL2G25,9
2020-01-07,MAEL2G65,1
2020-01-07,MAEL2G950,1
2020-01-07,SOELAT2610254M,1
2020-01-07,SOELCSVM501,3
2020-01-07,SOELCSVM510,3
2020-01-07,SOELCSVM530,3
2020-01-07,SOELSI9220DV,1
2020-01-07,SOSWC1-611,4
2020-01-07,SOSWC1-651,7
2020-01-07,SOSWC6-603,2
2020-01-07,SOSWG1-110,2
2020-01-07,SOSWG2-210,2
2020-01-07,SOSWG2-213,5
2020-01-07,SOSWM1-111,3
2020-01-07,SOSWM2-251,10
2020-01-07,SOSWM2-254,1
2020-01-07,SOSWM2-265,1
2020-01-07,SOSWP2-511,2
2020-01-07,SOSWP2-513,2
2020-01-07,SOSWP2-516,4
2020-01-07,SOSWP2-517,8
2020-01-07,SOSWSWA2650,1
2020-01-08,AUACAE20,4
2020-01-08,AUACAH45,3
2020-01-08,AUACAL3900U,2
2020-01-08,AUACALH2,2
2020-01-08,AUACALM4,4
2020-01-08,AUACALR4,2
2020-01-08,AUACAN4275,2
2020-01-08,AUACBD1100,1
2020-01-08,AUACBD850,3
2020-01-08,AUACDG1224,1
2020-01-08,AUACEG250,1
2020-01-08,AUACFC350,1
2020-01-08,AUACFL85265,1
2020-01-08,AUACPB400,2
2020-01-08,AUACRIM4F,36
2020-01-08,AUACRIM4Z,5
2020-01-08,AUACRP120,1
2020-01-08,AUACSH1000,2
2020-01-08,AUACV515,4
2020-01-08,AUELCR4301,1
2020-01-08,AUELCR433,5
2020-01-08,AUELMC3,6
2020-01-08,AUELMC5,7
2020-01-08,HEELAG114,6
2020-01-08,HEELAG230,3
2020-01-08,HEELCA1012D,9
2020-01-08,HEELCA2542D,3
2020-01-08,HEELCA6205,1
2020-01-08,HEELCA6256,4
2020-01-08,HEELCS1425,2
2020-01-08,HEELHG1600,1
2020-01-08,HEELID600,1
2020-01-08,HEELPS250,1
2020-01-08,HEELPS350,1
2020-01-08,HEELPW1770,1
2020-01-08,HEELPW2275,2
2020-01-08,HEELPW2482,1
2020-01-08,HEELRM9026,4
2020-01-08,HEELTA550,1
2020-01-08,HEELTB500,1
2020-01-08,MAEL2G65,-1
2020-01-08,SOELAT2610254M,3
2020-01-08,SOELAT2635504M,1
2020-01-08,SOELCSVM501,2
2020-01-08,SOELCSVM530,4
2020-01-08,SOELPES6300,21
2020-01-08,SOELPMS6505,11
2020-01-08,SOELSI9220DV,8
2020-01-08,SOFUFW181,0
2020-01-08,SOSWC1-611,4
2020-01-08,SOSWC1-651,1
2020-01-08,SOSWC6-603,6
2020-01-08,SOSWG1-110,8
2020-01-08,SOSWG1-111,4
2020-01-08,SOSWG2-210,24
2020-01-08,SOSWG2-213,26
2020-01-08,SOSWG2-216,20
2020-01-08,SOSWG2-217,20
2020-01-08,SOSWM2-254,4
2020-01-08,SOSWP2-513,8
2020-01-08,SOSWP2-514,1
2020-01-08,SOSWP2-515,2
2020-01-08,SOSWP2-516,2
2020-01-08,SOSWP2-517,7
2020-01-08,SOSWSWA2650,2
2020-01-08,SOSWT1-111,3
2020-01-09,AUAC265,3
2020-01-09,AUACAE15,1
2020-01-09,AUACAE20,7
2020-01-09,AUACAH45,2
2020-01-09,AUACAL3900U,2
2020-01-09,AUACALM4,4
2020-01-09,AUACALR4,6
2020-01-09,AUACBD1100,2
2020-01-09,AUACBL05,3
2020-01-09,AUACEG250,2
2020-01-09,AUACEL12,1
2020-01-09,AUACFL85265,1
2020-01-09,AUACHR42,1
2020-01-09,AUACPB400,3
2020-01-09,AUACRIM4F,16
2020-01-09,AUACRP120,6
2020-01-09,AUACSH1000,1
2020-01-09,AUELCR4301,22
2020-01-09,AUELCR433,5
2020-01-09,AUELMC3,1
2020-01-09,HEELAG114,3
2020-01-09,HEELAG181,1
2020-01-09,HEELBV06,2
2020-01-09,HEELCA1012D,1
2020-01-09,HEELCA6205,1
2020-01-09,HEELCA6256,3
2020-01-09,HEELEB7056,-2
2020-01-09,HEELEP181,2
2020-01-09,HEELHG1600,1
2020-01-09,HEELID600,1
2020-01-09,HEELPS250,2
2020-01-09,HEELPS350,3
2020-01-09,HEELPW1565,3
2020-01-09,HEELPW1770,2
2020-01-09,HEELPW2275,1
2020-01-09,HEELPW2482,1
2020-01-09,HEELRM9026,1
2020-01-09,HEELTB500,3
2020-01-09,HEELVC0640P,1
2020-01-09,HEFUFC25,-7
2020-01-09,MADUDG701,-1
2020-01-09,MAEL2G25,1
2020-01-09,MAEL2G65,1
2020-01-09,SOELCSVM530,1
2020-01-09,SOELPES6300,1
2020-01-09,SOELPMS6505,1
2020-01-09,SOFUFW181,-1
2020-01-09,SOSWC1-611,5
2020-01-09,SOSWG2-210,2
2020-01-09,SOSWG2-213,4
2020-01-09,SOSWM1-111,1
2020-01-09,SOSWM2-235,5
2020-01-09,SOSWM2-245,5
2020-01-09,SOSWM2-251,10
2020-01-09,SOSWP2-515,2
2020-01-09,SOSWP2-516,3
2020-01-09,SOSWSWT2045,1
2020-01-09,SOSWT1-111,1
2020-01-10,AUACAE20,10
2020-01-10,AUACAE25,2
2020-01-10,AUACAH45,2
2020-01-10,AUACAL3900U,5
2020-01-10,AUACALH2,5
2020-01-10,AUACALM4,24
2020-01-10,AUACALR4,4
2020-01-10,AUACBD1100,1
2020-01-10,AUACCH1,15
2020-01-10,AUACEG250,4
2020-01-10,AUACEG500,1
2020-01-10,AUACEL12,2
2020-01-10,AUACFL85265,2
2020-01-10,AUACRIM4F,10
2020-01-10,AUACRP120,1
2020-01-10,AUACSH1000,1
2020-01-10,AUELCR433,8
2020-01-10,HEELAG114,3
2020-01-10,HEELAG230,1
2020-01-10,HEELBV04,1
2020-01-10,HEELBV06,2
2020-01-10,HEELCA1510,4
2020-01-10,HEELCA6256,2
2020-01-10,HEELEB90758,2
2020-01-10,HEELEP181,2
2020-01-10,HEELHG1600,3
2020-01-10,HEELID600,7
2020-01-10,HEELMS1018,1
2020-01-10,HEELPS250,1
2020-01-10,HEELPW1770,3
2020-01-10,HEELPW2275,1
2020-01-10,HEELRM9026,5
2020-01-10,HEELTA375,1
2020-01-10,HEELTB500,2
2020-01-10,MAEL2G65,1
2020-01-10,MAEL2G950,5
2020-01-10,MAELGPW2515,1
2020-01-10,SOELCSVM501,2
2020-01-10,SOELCSVM530,3
2020-01-10,SOELPES6300,1
2020-01-10,SOELPMS6505,6
2020-01-10,SOELSI9220DV,3
2020-01-10,SOSWC1-611,4
2020-01-10,SOSWG2-210,4
2020-01-10,SOSWG2-213,27
2020-01-10,SOSWM1-111,1
2020-01-10,SOSWM2-235,2
2020-01-10,SOSWT1-115,1
2020-01-11,AUACAE20,1
2020-01-11,AUACAH45,3
2020-01-11,AUACAL3900U,5
2020-01-11,AUACALR4,3
2020-01-11,AUACBD850,2
2020-01-11,AUACEG250,0
2020-01-11,AUACEL12,1
2020-01-11,AUACFX1000,1
2020-01-11,AUACPB400,1
2020-01-11,AUACRCBLT3,1
2020-01-11,AUACRIM4F,14
2020-01-11,AUACRP120,0
2020-01-11,AUELCR4301,2
2020-01-11,HEELAG114,2
2020-01-11,HEELCA6205,2
2020-01-11,HEELCA6256,1
2020-01-11,HEELCS1425,1
2020-01-11,HEELEB7056,1
2020-01-11,HEELMS1018,1
2020-01-11,HEELPS350,1
2020-01-11,HEELPW1565,1
2020-01-11,HEELPW1770,2
2020-01-11,HEELRM9026,1
2020-01-11,HEELTS255,1
2020-01-11,HEELVC0640P,1
2020-01-11,HEFUFC25,3
2020-01-11,MAEL2G65,1
2020-01-11,MAELGPW2515,1
2020-01-11,SOELCSVM501,2
2020-01-11,SOELCSVM530,1
2020-01-11,SOELPES6300,1
2020-01-11,SOELSI9220DV,1
2020-01-11,SOSWC1-611,4
2020-01-11,SOSWC1-651,3
2020-01-11,SOSWC1-811,1
2020-01-11,SOSWG2-210,1
2020-01-11,SOSWG2-214,4
2020-01-11,SOSWSWA2650,4
2020-01-13,AUAC265,2
2020-01-13,AUACAE20,5
2020-01-13,AUACAL3900U,8
2020-01-13,AUACALH2,1
2020-01-13,AUACALR4,18
2020-01-13,AUACBD1100,-1
2020-01-13,AUACBD850,1
2020-01-13,AUACBL05,1
2020-01-13,AUACEG250,1
2020-01-13,AUACFL85265,3
2020-01-13,AUACPB400,5
2020-01-13,AUACRIM4F,20
2020-01-13,AUACRP120,1
2020-01-13,AUACSH1000,6
2020-01-13,AUACV515,2
2020-01-13,AUELCR433,4
2020-01-13,AUELMC3,4
2020-01-13,AUELMC5,10
2020-01-13,HEELAG114,9
2020-01-13,HEELAG1165,1
2020-01-13,HEELBV04,2
2020-01-13,HEELBV05,2
2020-01-13,HEELCA1012D,32
2020-01-13,HEELCA2542D,1
2020-01-13,HEELCA6205,8
2020-01-13,HEELCA6256,7
2020-01-13,HEELCS1425,2
2020-01-13,HEELDH164515,1
2020-01-13,HEELEB7056,5
2020-01-13,HEELEB90758,2
2020-01-13,HEELEP181,3
2020-01-13,HEELHG1600,7
2020-01-13,HEELID600,2
2020-01-13,HEELPS350,5
2020-01-13,HEELPW1565,15
2020-01-13,HEELPW1770,8
2020-01-13,HEELPW2275,3
2020-01-13,HEELRM9026,2
2020-01-13,HEELTA375,1
2020-01-13,HEELTB500,2
2020-01-13,HEFUFC25,1
2020-01-13,MAEL2G100,1
2020-01-13,MAEL2G13,1
2020-01-13,MAEL2G25,2
2020-01-13,MAEL2G65,1
2020-01-13,MAELGPW2515,1
2020-01-13,SOELAT2610254M,3
2020-01-13,SOELCSVM501,13
2020-01-13,SOELCSVM510,1
2020-01-13,SOELCSVM530,4
2020-01-13,SOELPES6300,61
2020-01-13,SOELPMS6505,36
2020-01-13,SOELSI9220DV,6
2020-01-13,SOSWC1-611,11
2020-01-13,SOSWC1-811,2
2020-01-13,SOSWC6-603,9
2020-01-13,SOSWG1-110,15
2020-01-13,SOSWG1-111,2
2020-01-13,SOSWG1-112,1
2020-01-13,SOSWG1-114,5
2020-01-13,SOSWG2-213,3
2020-01-13,SOSWG2-214,5
2020-01-13,SOSWM2-211,20
2020-01-13,SOSWSWA2650,4
2020-01-14,AUACAE20,16
2020-01-14,AUACAL3900U,10
2020-01-14,AUACALH2,10
2020-01-14,AUACALM4,17
2020-01-14,AUACALR4,34
2020-01-14,AUACBD1100,1
2020-01-14,AUACBD850,2
2020-01-14,AUACBL05,2
2020-01-14,AUACEG250,5
2020-01-14,AUACEL12,5
2020-01-14,AUACFL85265,2
2020-01-14,AUACFX1000,3
2020-01-14,AUACHULK750,2
2020-01-14,AUACIN624,1
2020-01-14,AUACPB400,2
2020-01-14,AUACRCBLT3,3
2020-01-14,AUACRIM4F,27
2020-01-14,AUACSH1000,5
2020-01-14,AUELCR4301,2
2020-01-14,AUELCR433,5
2020-01-14,AUELMC3,2
2020-01-14,AUELMC5,2
2020-01-14,HEELAG114,3
2020-01-14,HEELAG230,3
2020-01-14,HEELBV04,-3
2020-01-14,HEELBV05,1
2020-01-14,HEELBV06,3
2020-01-14,HEELCA1012D,9
2020-01-14,HEELCA1510,7
2020-01-14,HEELCA6205,3
2020-01-14,HEELCA6256,7
2020-01-14,HEELCS1425,3
2020-01-14,HEELDH164515,1
2020-01-14,HEELEB7056,21
2020-01-14,HEELEB90758,3
2020-01-14,HEELEP181,1
2020-01-14,HEELHG1600,11
2020-01-14,HEELID600,3
2020-01-14,HEELPS250,10
2020-01-14,HEELPS350,7
2020-01-14,HEELPW1565,50
2020-01-14,HEELPW1770,13
2020-01-14,HEELPW2275,10
2020-01-14,HEELPW2482,6
2020-01-14,HEELRM9026,5
2020-01-14,HEELTA550,1
2020-01-14,HEELTB500,10
2020-01-14,HEELTS255,2
2020-01-14,HEELVC0640P,2
2020-01-14,HEFUFC25,2
2020-01-14,MADUDG701,1
2020-01-14,MAEL2G100,3
2020-01-14,MAEL2G13,1
2020-01-14,MAEL2G25,2
2020-01-14,MAEL2G65,2
2020-01-14,MAELGPW2515,1
2020-01-14,SOELAT2610254M,1
2020-01-14,SOELCSVM501,17
2020-01-14,SOELCSVM510,1
2020-01-14,SOELCSVM530,14
2020-01-14,SOELPES6300,1
2020-01-14,SOELSI8300MG,5
2020-01-14,SOELSI9220DV,5
2020-01-14,SOFUFW181,1
2020-01-14,SOSWC1-611,5
2020-01-14,SOSWC1-651,1
2020-01-14,SOSWC6-603,6
2020-01-14,SOSWG1-110,2
2020-01-14,SOSWG2-210,6
2020-01-14,SOSWG2-213,6
2020-01-14,SOSWM1-111,5
2020-01-14,SOSWM2-245,5
2020-01-14,SOSWM2-251,10
2020-01-14,SOSWP2-513,3
2020-01-14,SOSWP2-516,6
2020-01-14,SOSWP2-517,60
2020-01-14,SOSWSWA2650,3
2020-01-14,SOSWSWA3250,1
2020-01-14,SOSWSWC690,-1
2020-01-14,SOSWT1-111,1
2020-01-15,AUAC265,2
2020-01-15,AUACAE20,7
2020-01-15,AUACAH45,3
2020-01-15,AUACAL3900U,1
2020-01-15,AUACALH2,1
2020-01-15,AUACALR4,6
2020-01-15,AUACAR10SH,2
2020-01-15,AUACBD1100,1
2020-01-15,AUACBL05,2
2020-01-15,AUACEG250,3
2020-01-15,AUACEL12,4
2020-01-15,AUACFL85265,3
2020-01-15,AUACFX1000,3
2020-01-15,AUACHULK450,1
2020-01-15,AUACHULK750,1
2020-01-15,AUACLD500,2
2020-01-15,AUACPB400,1
2020-01-15,AUACRCBLT3,2
2020-01-15,AUACRIM4F,20
2020-01-15,AUACRIM4Z,8
2020-01-15,AUACRP120,2
2020-01-15,AUACRT3FX,1
2020-01-15,AUACSH1000,4
2020-01-15,AUELCR433,3
2020-01-15,AUELMC3,1
2020-01-15,AUELMC5,1
2020-01-15,HEELAG114,5
2020-01-15,HEELAG230,1
2020-01-15,HEELCA1012D,1
2020-01-15,HEELCA1510,1
2020-01-15,HEELCA6256,2
2020-01-15,HEELCS1425,2
2020-01-15,HEELEB90758,1
2020-01-15,HEELEP181,1
2020-01-15,HEELHG1600,3
2020-01-15,HEELID600,2
2020-01-15,HEELMS1018,1
2020-01-15,HEELPS250,3
2020-01-15,HEELPS350,1
2020-01-15,HEELPW1770,2
2020-01-15,HEELPW2275,3
2020-01-15,HEELPW2482,2
2020-01-15,HEELRM9026,1
2020-01-15,HEELTA750,1
2020-01-15,HEELTB500,4
